Element/Energy(keV);min;max;88.09;145.41;208.36;279.12;411.8;661.6;1115.5;1598;2753.9
beryllium;0;10;0.1360;0.1193;0.1070;0.0968;0.0829;0.06836;0.05296;0.04420;0.03288
carbon;0;10;0.1560;0.1357;0.1209;0.1087;0.0940;0.07713;0.06043;0.04953;0.03729
magnesium;0;10;0.1817;0.1403;0.1205;0.1090;0.0932;0.07653;0.06023;0.04890;0.03760
aluminum;0;8;0.1827;0.1382;0.1198;0.1064;0.0905;0.07436;0.05807;0.04808;0.03682
sulfur;0;10;0.2274;0.1527;0.1286;0.1115;0.0951;0.07822;0.06079;0.05100;0.03877
titanium;0;3;0.3384;0.1711;0.1267;0.1072;0.0885;0.07130;0.05590;0.04632;0.03613
iron;0;2;0.4841;0.2036;0.1392;0.1127;0.0906;0.07258;0.05610;0.04637;0.03751
nickel;0;2;0.5754;0.2225;0.1499;0.1187;0.0944;0.07497;0.05786;0.04857;0.03779
copper;0;2;0.6005;0.2297;0.1473;0.1165;0.0911;0.07285;0.05521;0.04630;0.03713
zinc;0;2;0.6546;0.2420;0.1538;0.1185;0.0928;0.07296;0.05606;0.04638;0.03720
zirconium;0;2;1.3330;0.3990;0.2060;0.1392;0.0975;0.0716;0.05393;0.04520;0.03715
niobium;0;1;1.4680;0.4250;0.2150;0.1456;0.0997;0.0729;0.05517;0.04561;0.03767
molybdenum;0;1;1.5180;0.4530;0.2220;0.1485;0.1008;0.0730;0.05467;0.04502;0.03747
silver;0;1;2.0310;0.5770;0.2700;0.1697;0.1075;0.0758;0.05547;0.04567;0.03796
tin;0;1;2.3840;0.6450;0.2920;0.1772;0.1092;0.0744;0.05348;0.04445;0.03703
lanthanum;0;2;3.2760;0.8870;0.3820;0.2165;0.1227;0.0779;0.05398;0.04480;0.03735
gadolinium;0;1;4.3760;1.1840;0.4940;0.2691;0.1405;0.0831;0.05619;0.04532;0.03862
hafnium;0;1;5.6960;1.5670;0.6450;0.3413;0.1684;0.0920;0.05823;0.04693;0.03978
tungsten;0;1;6.1480;1.6870;0.7050;0.3689;0.1775;0.0960;0.05964;0.04753;0.04070
gold;0;1;7.0060;1.9820;0.8230;0.4248;0.1998;0.1031;0.06205;0.04893;0.04202
lead;0;1;6.5760;2.1460;0.9010;0.4621;0.2130;0.1074;0.06324;0.04940;0.04151
thorium;0;1;2.4260;2.6220;1.0930;0.5575;0.2548;0.1202;0.06721;0.05164;0.04356
uranium;0;1;2.5730;2.7560;1.1560;0.5876;0.2671;0.1244;0.06876;0.05246;0.04365
plutonium;0;1;2.7660;2.9290;1.2130;0.6290;0.2844;0.1323;0.07176;0.05404;0.04549