Element/Energy(keV);88.09;145.41;208.36;279.12;411.8;661.6;1115.5;1598;2753.9
aluminum;8;9;10;11;12;13;14;15;16
beryllium;12;13;14;15;16;17;18;19;20
carbon;12;13;14;15;16;17;18;19;20
copper;1;2;3;4;5;6;7;8;9
gadolinium;0.1;0.5;1;2;3;4;5;6;7
gold;0.025;0.1;0.2;0.5;1;2;3;4;5
hafnium;0.05;0.2;0.5;0.8;2;3;4;5;6
iron;1;2;3;4;5;6;7;8;9
lanthanum;0.2;0.7;1.5;2.5;4;5;6;7;8
lead;0.05;0.2;0.4;0.8;1.2;2;3;4;5
magnesium;12;13;14;15;16;17;18;19;20
molybdenum;0.3;0.8;1.5;3;4;5;6;7;8
nickel;0.8;2;3;4;5;6;7;8;9
niobium;0.3;1;2;3;4;5;6;7;8
plutonium;0.075;0.075;0.175;0.3;0.7;1.2;3;4;5
silver;0.2;0.7;1.2;3;4;5;6;7;8
sulfur;10;11;12;13;14;15;16;17;18
thorium;0.15;0.15;0.3;0.6;1.2;3;4;5;6
tin;0.25;0.8;1.2;2;3;4;5;6;7
titanium;3;4;5;6;7;8;9;10;11
tungsten;0.025;0.1;0.3;0.6;1;2;3;4;5
uranium;0.075;0.075;0.2;0.4;0.8;1.2;3;4;5
zinc;0.9;2.2;4;5;6;7;8;9;10
zirconium;0.5;1.4;3;4;5;6;7;8;9